"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/25/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/26/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/27/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/28/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/29/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/30/2022","AQS","132611001","2","0.028","ppm","26","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/31/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"08/01/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"08/02/2022","AQS","132611001","2","0.028","ppm","26","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"08/03/2022","AQS","132611001","2","0.036","ppm","33","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"08/04/2022","AQS","132611001","2","0.034","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
